Location,Context
Tunisie,"La Tunisie refuse d’être un ""simple gendarme protégeant les frontières des autres"" | La nouvelle botte secrète de la Tunisie pour se passer d’un prêt du FMI | Président tunisien: les conditions du prêt du FMI ""porteront atteinte à la précieuse paix civile"""
Crimée,"Le Kremlin révèle certains objectifs de Kiev dans la destruction du barrage de Kakhovka | La Crimée attaquée par neuf drones ukrainiens | La Russie frappe un stock de missiles Storm Shadow en Ukraine, annonce la Défense"
Brésil,Un cyclone fait 11 morts et 20 disparus dans le sud du Brésil | Les pays d'Amérique du Sud cherchent à éviter le dollar | L’adhésion aux BRICS explose: le groupe plus désiré que jamais
Nord,"Le chef de l'armée ukrainienne derrière la destruction des Nord Stream, selon une enquête de médias | La CIA aurait signalé à la Belgique que l'Ukraine pourrait avoir saboté les Nord Stream | De l’ADN fossile au Maroc prouve l’origine des premiers agriculteurs sur le continent"
Alger,"L'Algérie invite les entreprises russes à accroître leurs investissements dans le pays | Alger et Moscou comptent signer des accords pour approfondir leurs relations, selon Tebboune | Tebboune: Alger entend porter les rapports avec Moscou au niveau de partenariat stratégique"
États,"Un ""doigt d’honneur"" à Washington de la part d’un allié clé au Moyen-Orient | Quels sont les intérêts des États-Unis dans le règlement du conflit entre Bakou et Erevan? | Les USA auraient déployé environ 150 ogives nucléaires dans cinq pays européens - image"
Zimbabwe,"Zimbabwe: plus de 2.000 cas présumés de choléra | Ce pays africain va doubler sa production électrique d’ici 2025 | ""Les Américains sont des tyrans"": un militant zimbabwéen fustige les sanctions contre son pays"
Russie,"L'Algérie invite les entreprises russes à accroître leurs investissements dans le pays | Tebboune à Moscou: ""Nous avons des relations historiques"" | Alger et Moscou comptent signer des accords pour approfondir leurs relations, selon Tebboune"
Sénégal,"Le Sénégal rouvre les consulats à l’étranger | La production de gaz et de pétrole va fortement impacter le budget 2024 de ce pays africain | Sénégal: Macky Sall condamne les agressions ""extrêmement graves"" contre l'État et ses institutions"
l’Afrique,"Enjeux, invités, projets: ce que réserve le Forum économique international de Saint-Pétersbourg | La monnaie des BRICS ""est bienvenue pour l’émancipation de l’Afrique"", selon un industriel | Emmanuel Macron au sommet des BRICS? Une demande inattendue pour l’Afrique du Sud"
Iran,Téhéran annonce la création d’un hub gazier avec Moscou au bord du golfe Persique | L’Iran dévoile son nouveau missile hypersonique – images | L’Iran augmente ses échanges de 14% avec les BRICS
Pologne,Des munitions destinées à l’Ukraine volées d’un train US en Pologne | L’avion du service de sécurité de Ramaphosa bloqué en Pologne: Varsovie s’explique | Mission de paix africaine: nouveaux détails sur l’itinéraire de la délégation vers la Russie
Soudan,Ces quatre pays africains recevront 10 millions de dollars de Moscou | L’Égypte revoit sa politique de visas pour les Soudanais sur fond de guerre | Tombes et pyramides: comment le Soudan tente de sauver ses trésors de la guerre
Égypte,Un nouveau pays africain dépose sa candidature pour les BRICS | Le requin qui a dévoré un nageur va être embaumé en Égypte – vidéo | Un pays d’Afrique songe à commercer en devises locales avec certains des BRICS
mer Noire,"Moscou rend publique une vidéo de l’attaque ukrainienne repoussée en mer Noire | Un navire russe repousse une attaque ukrainienne dans la mer Noire | Enfants, territoires et blé: résultats des pourparlers entre Poutine et les dirigeants d'Afrique"
Nigeria,"Le Nigeria prévoit de dépasser le quota pétrolier de l'OPEP | Ces producteurs africains du pétrole sont dans le top 20 mondial | Le Nigeria se lance dans la production de ""nouveau pétrole"""
Europe,"""L’Algérie a tout à gagner avec les BRICS et les BRICS ont tout à gagner avec l’Algérie"" | Les USA auraient déployé environ 150 ogives nucléaires dans cinq pays européens - image | Comment le conflit en Ukraine a fait le jeu du fabricant de chars allemands Leopard"
RDC,Énorme intérêt pour l'apprentissage du russe: Moscou et Kinshasa parlent éducation | Ce pays africain pourrait devenir le 2e producteur mondial de cuivre d’ici 2026 | Une attaque contre une école ougandaise fait plusieurs dizaines de morts
