year,month,day,num_article,words,text_for_tfidf,Cluster_ID,Theme,CP1,CP2,CP3
2025,10,12,1,"['attaque', 'drone', 'fsr', 'centre', 'déplacer', 'fasher', 'mort', 'civil', 'diplomatie', 'soudanais', 'ministère', 'affaire', 'étranger', 'exhorter', 'conseil', 'sécurité', 'onu', 'appliquer', 'résolution', 'exiger', 'paramilitaire', 'force', 'soutien', 'rapide', 'levée', 'immédiat', 'siège', 'arrêt', 'ville', 'acteur', 'international', 'régional', 'urgence', 'stopper', 'afflux', 'arme', 'mercenaire', 'soutenir', 'gouvernement', 'effort', 'soulager', 'souffrance', 'demander', 'compte', 'dirigeant', 'déclarer', 'dernier', 'grand', 'région', 'darfour', 'échapper', 'contrôle', 'total', 'guerre', 'armée', 'avril']",attaque drone fsr centre déplacer fasher mort civil diplomatie soudanais ministère affaire étranger exhorter conseil sécurité onu appliquer résolution exiger paramilitaire force soutien rapide levée immédiat siège arrêt ville acteur international régional urgence stopper afflux arme mercenaire soutenir gouvernement effort soulager souffrance demander compte dirigeant déclarer dernier grand région darfour échapper contrôle total guerre armée avril,2,Conflit Militaire (Ukraine),0.11936957337667042,-0.0007589799594909341,0.08193119901852923
2025,10,12,2,"['fin', 'guerre', 'gazer', 'souffrance', 'palestinien', 'persister', 'image', 'montrer', 'tente', 'personne', 'perdre', 'maison', 'contrainte', 'vivre']",fin guerre gazer souffrance palestinien persister image montrer tente personne perdre maison contrainte vivre,1,Politique Française Générale,0.011924329476018288,0.0919848793226773,-0.0076540206527858975
2025,10,12,3,"['crise', 'madagascar', 'moment', 'gendarmerie', 'ranger', 'côté', 'manifestant', 'octobre', 'orange', 'actualité', 'gendarme', 'publier', 'déclaration', 'dire', 'protéger', 'terroriser', 'appeler', 'force', 'armée', 'rejeter', 'violence', 'présidence', 'malgache', 'dénoncer', 'tentative', 'prise', 'pouvoir', 'illégal', 'vif', 'nation', 'faire', 'bloc', 'défendre', 'ordre', 'constitutionnel', 'souveraineté', 'national', 'compagnie', 'aérien', 'ethiopian', 'air', 'austral', 'france', 'annoncer', 'report', 'annulation', 'vol', 'partie', 'militaire', 'rejoindre', 'corps', 'personnel', 'service', 'administratif', 'technique', 'capsat', 'baser', 'capitale', 'refuser', 'tirer', 'soirée', 'troupe', 'entrer', 'bref', 'échange', 'tir', 'sécurité', 'fidèle', 'président', 'prendre', 'contrôle', 'centre', 'ville', 'vivre', 'important', 'manifestation', 'début', 'protestation', 'fin', 'septembre', 'millier', 'personne', 'mobiliser', 'place', 'mai', 'socle', 'collectif', 'gen', 'z', 'démission', 'andry', 'rajoelina', 'sénat', 'média', 'affirmer', 'quitter', 'pays', 'indiquer', 'territoire']",crise madagascar moment gendarmerie ranger côté manifestant octobre orange actualité gendarme publier déclaration dire protéger terroriser appeler force armée rejeter violence présidence malgache dénoncer tentative prise pouvoir illégal vif nation faire bloc défendre ordre constitutionnel souveraineté national compagnie aérien ethiopian air austral france annoncer report annulation vol partie militaire rejoindre corps personnel service administratif technique capsat baser capitale refuser tirer soirée troupe entrer bref échange tir sécurité fidèle président prendre contrôle centre ville vivre important manifestation début protestation fin septembre millier personne mobiliser place mai socle collectif gen z démission andry rajoelina sénat média affirmer quitter pays indiquer territoire,1,Politique Française Générale,0.05216836811546604,0.13591901114450397,0.07712201253916569
2025,10,3,1,"['pétrolier', 'boracay', 'arraisonner', 'autorité', 'français', 'reprendre', 'route', 'canal', 'suer', 'site', 'marine', 'traffic', 'navire', 'mètre', 'battre', 'pavillon', 'bénin', 'trouver', 'vendredi', 'matin', 'large', 'rochelle', 'golfe', 'gascogne', 'source', 'discours', 'valdaï', 'poutine', 'qualifier', 'arraisonnement', 'france', 'piraterie']",pétrolier boracay arraisonner autorité français reprendre route canal suer site marine traffic navire mètre battre pavillon bénin trouver vendredi matin large rochelle golfe gascogne source discours valdaï poutine qualifier arraisonnement france piraterie,0,Diplomatie Bloc Occidental,-0.0054145367052160194,0.038399408270261975,0.044027537239675375
2025,10,2,1,"['principal', 'événement', 'monde', 'soir', 'octobre', 'vladimir', 'poutine', 'prononcer', 'avenir', 'traité', 'new', 'relation', 'russie', 'usa', 'développement', 'bric', 'dossier', 'réunion', 'club', 'discussion', 'valdaï', 'moscou', 'kiev', 'procéder', 'nouveau', 'échange', 'prisonnier', 'civil', 'rapatrier', 'réagir', 'action', 'ue', 'actif', 'russe', 'déclarer', 'marier', 'zakharova', 'ministère', 'affaire', 'étranger', 'président', 'ramaphosa', 'condamner', 'interception', 'flottille', 'gazer', 'dénoncer', 'atteinte', 'grave', 'israël', 'principe', 'solidarité', 'justice', 'international', 'participant', 'manifestation', 'antigouvernemental', 'madagascar', 'annoncer', 'création', 'comité', 'coordination', 'lutte', 'média', 'dizaine', 'millier', 'personne', 'manifester', 'france', 'politique', 'budgétaire', 'gouvernement', 'pari', 'manifestant', 'prendre', 'assaut', 'concession', 'tesla', 'accord', 'partenariat', 'stratégique', 'global', 'russo', 'iranien', 'signer', 'pays', 'janvier', 'entrer', 'vigueur']",principal événement monde soir octobre vladimir poutine prononcer avenir traité new relation russie usa développement bric dossier réunion club discussion valdaï moscou kiev procéder nouveau échange prisonnier civil rapatrier réagir action ue actif russe déclarer marier zakharova ministère affaire étranger président ramaphosa condamner interception flottille gazer dénoncer atteinte grave israël principe solidarité justice international participant manifestation antigouvernemental madagascar annoncer création comité coordination lutte média dizaine millier personne manifester france politique budgétaire gouvernement pari manifestant prendre assaut concession tesla accord partenariat stratégique global russo iranien signer pays janvier entrer vigueur,4,Affaires Militaires et Défense,0.22178768117045355,0.09010184957630378,0.1729851790549766
2025,10,2,2,"['arraisonnement', 'pétrolier', 'france', 'acte', 'piraterie', 'poutine', 'action', 'viser', 'inciter', 'russie', 'agressif', 'déclarer', 'président', 'réunion', 'club', 'discussion', 'valdaï', 'drone', 'bord', 'préciser', 'intercepter', 'flotte', 'fantôme', 'russe', 'large', 'côte', 'juger', 'capitaine', 'refus', 'obtempérer', 'média']",arraisonnement pétrolier france acte piraterie poutine action viser inciter russie agressif déclarer président réunion club discussion valdaï drone bord préciser intercepter flotte fantôme russe large côte juger capitaine refus obtempérer média,2,Conflit Militaire (Ukraine),0.07698944754626864,-0.0004556840098624401,0.014084689955542747
2025,10,2,3,"['milliardaire', 'engraisser', 'travailleur', 'dépouiller', 'manifestation', 'débuter', 'pari', 'cortège', 'élancer', 'rapporter', 'correspondant', 'sputnik', 'place', 'nouveau', 'journée', 'grève', 'prévoir', 'octobre', 'france', 'appel', 'intersyndicale', 'semaine', 'mobilisation', 'réunir', 'manifestant', 'pays', 'ministère', 'intérieur']",milliardaire engraisser travailleur dépouiller manifestation débuter pari cortège élancer rapporter correspondant sputnik place nouveau journée grève prévoir octobre france appel intersyndicale semaine mobilisation réunir manifestant pays ministère intérieur,8,Manifestations et Mouvements Sociaux,-0.006942750045651537,0.31186384304656983,-0.002356532551323409
2025,10,2,4,"['banque', 'ae', 'groupe', 'vouloir', 'finir', 'domination', 'impérialiste', 'politologue', 'installation', 'investissement', 'développement', 'bamako', 'permettre', 'pays', 'prendre', 'charge', 'déclarer', 'sputnik', 'afrique', 'ibrahim', 'salifou', 'socrate', 'temps', 'mondial', 'fmi', 'organisation', 'financier', 'appartenir', 'oligarchie', 'impérialisme', 'travers', 'maintenir', 'pauvreté', 'accuser', 'institution', 'influence', 'france', 'cherche', 'bloquer', 'projet', 'clé', 'financer', 'instabilité', 'région', 'falloir', 'montrer', 'monde', 'entier', 'français', 'dégât', 'causer', 'viser', 'déstabiliser', 'occuper', 'sahara', 'richesse', 'génération']",banque ae groupe vouloir finir domination impérialiste politologue installation investissement développement bamako permettre pays prendre charge déclarer sputnik afrique ibrahim salifou socrate temps mondial fmi organisation financier appartenir oligarchie impérialisme travers maintenir pauvreté accuser institution influence france cherche bloquer projet clé financer instabilité région falloir montrer monde entier français dégât causer viser déstabiliser occuper sahara richesse génération,7,Souveraineté Africaine et IA,-0.044854591327562476,-0.005351100018141523,-0.029628219478096955
2025,10,2,5,"['grève', 'octobre', 'cheminot', 'pénétrer', 'magasin', 'tesla', 'pari', 'intersyndicale', 'appeler', 'jeudi', 'nouveau', 'journée', 'mobilisation', 'travers', 'france', 'cfdt', 'cgt', 'fo', 'cfe', 'cgc', 'cftc', 'unsa', 'fsu', 'solidaire', 'protester', 'austérité', 'budgétaire', 'appel', 'transport', 'éducation', 'national', 'fonction', 'public', 'manifestation', 'prévoir', 'territoire', 'policier', 'gendarme', 'mobiliser', 'précédent', 'image', 'prendre', 'correspondant', 'sputnik', 'afrique', 'place']",grève octobre cheminot pénétrer magasin tesla pari intersyndicale appeler jeudi nouveau journée mobilisation travers france cfdt cgt fo cfe cgc cftc unsa fsu solidaire protester austérité budgétaire appel transport éducation national fonction public manifestation prévoir territoire policier gendarme mobiliser précédent image prendre correspondant sputnik afrique place,8,Manifestations et Mouvements Sociaux,-0.05498609594742142,0.2978021970442325,-0.03735853305076352
2025,10,2,6,"['piraterie', 'crime', 'guerre', 'violation', 'droit', 'international', 'interception', 'israël', 'flottille', 'gazer', 'condamner', 'organisateur', 'dénoncer', 'opération', 'armée', 'israélien', 'reprocher', 'tsahal', 'utiliser', 'tactique', 'agressif', 'canon', 'eau', 'blesser', 'préciser', 'position', 'palestinien', 'hama', 'qualifier', 'incident', 'terrorisme', 'état', 'appeler', 'communauté', 'prendre', 'mesure', 'urgent', 'protéger', 'militant', 'navire', 'djihad', 'islamique', 'maritime', 'grave', 'convention', 'responsable', 'sécurité', 'participant', 'onu', 'rapporteur', 'spécial', 'humain', 'territoire', 'francesca', 'albanese', 'déclarer', 'constituer', 'juridiction', 'légal', 'large', 'pari', 'garantir', 'fournir', 'protection', 'consulaire', 'ministère', 'suisse', 'affaire', 'étranger', 'rappeler', 'intervention', 'devoir', 'respecter', 'principe', 'nécessité', 'proportionnalité', 'passager', 'ankara', 'terroriste', 'perpétrer', 'marine', 'espagnol', 'indiquer', 'situation', 'consulat', 'région', 'mettre', 'alerte', 'bruxelle', 'exiger', 'assurer', 'irlandais', 'juger', 'préoccupant', 'respect', 'personne', 'bord']",piraterie crime guerre violation droit international interception israël flottille gazer condamner organisateur dénoncer opération armée israélien reprocher tsahal utiliser tactique agressif canon eau blesser préciser position palestinien hama qualifier incident terrorisme état appeler communauté prendre mesure urgent protéger militant navire djihad islamique maritime grave convention responsable sécurité participant onu rapporteur spécial humain territoire francesca albanese déclarer constituer juridiction légal large pari garantir fournir protection consulaire ministère suisse affaire étranger rappeler intervention devoir respecter principe nécessité proportionnalité passager ankara terroriste perpétrer marine espagnol indiquer situation consulat région mettre alerte bruxelle exiger assurer irlandais juger préoccupant respect personne bord,1,Politique Française Générale,0.08671557112795442,0.10357229938159998,0.05803375160563546
